Identifier,IdentityScore,EAScore,UWScore,Owner_Verified_Components,Owner_Negatively_Verified_Components,Owner_Phone_1_to_Name_Linkage,Owner_Phone_1_to_First_Name_Linkage,Owner_Address_to_Phone_1_Linkage,Owner_Email_to_Phone_1_Linkage,Owner_Prepaid_Phone_Attribute,Owner_Business_Phone_Indicator,Owner_Phone_InService_Indicator,Owner_Phone_Type_Indicator,Owner_Service_Discontinued_Indicator,Owner_Recent_Phone_Usage_Past_2_months,Owner_Phone_Usage_Past_12_months,Owner_Phone_Carrier,Owner_Parent_Phone_Carrier,Owner_Technology_Indicator,Owner_VoIP_Indicator,Owner_MVNO_Indicator,Fraud
1000001,550,81,2.167,5,6,2,-1,-2,-1,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1000002,539,98,1.73,2,6,1,1,-1,-1,N,B,A7,L,0,3,5,Cbeyond,Birch Communications,Wireline,2,,0
1000003,361,500,0.744,7,5,-1,2,2,0,N,U,A2,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000004,442,119,0.405,2,8,2,1,2,0,N,U,U,W,0,1,2,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000005,431,82,1.063,1,8,2,1,2,2,N,U,A7,W,0,2,3,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1000006,528,500,1.128,7,5,-1,-1,-1,-2,N,U,A7,L,0,3,4,Pacific Bell - Nevada Bell,AT&T,Wireline,3,,0
1000007,612,500,3.633,2,8,2,-1,-1,0,N,B,A7,L,0,2,3,Level 3-SVR,CenturyLink,Wireline,3,,0
1000008,371,500,0.974,2,8,2,1,2,0,N,U,A7,W,0,1,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000009,469,129,1.447,2,8,2,1,-1,0,N,U,A7,W,0,3,4,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1000010,469,904,5.274,2,8,2,1,2,-2,Y,U,A4,W,0,3,4,Cingular Wireless,AT&T,Wireless,,Y,0
1000011,488,95,6.947,1,8,2,1,2,1,N,U,A7,W,0,3,5,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1000012,382,50,0.728,1,8,1,1,2,-1,N,U,A7,W,0,3,4,Sprint PCS,Sprint Nextel,Wireless,,N,0
1000013,407,236,1.043,2,8,2,2,1,0,Y,U,A7,W,0,3,4,Metro PCS Communications Inc,T-Mobile,Wireless,,N,0
1000014,496,705,6.281,2,8,2,-1,-1,-2,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1000015,386,132,0.578,2,5,2,1,2,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000016,571,73,0.555,3,7,1,-1,-1,-1,N,B,A7,L,0,3,4,Vonage Network Inc,Vonage,VOIP Other,1,,0
1000017,453,50,0.214,6,2,-1,-1,-1,-1,N,B,A6,L,0,2,3,BANDWIDTH.COM,Bandwidth.com,Wireline,2,,0
1000018,443,28,2.085,1,8,2,2,1,2,Y,U,A7,W,0,2,4,Cingular Wireless,AT&T,Wireless,,Y,0
1000019,364,904,3.114,2,8,2,1,2,0,N,U,A7,W,1,2,3,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1000020,583,50,1.442,1,8,2,2,1,1,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1000021,504,500,3.754,2,8,2,-2,1,0,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1000022,424,248,0.651,5,8,2,1,-2,-2,N,U,A7,W,0,3,4,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1000023,520,904,14.28,7,5,-1,-1,-1,0,N,B,A7,L,0,3,4,SouthWestern Bell,AT&T,Wireline,3,,0
1000024,925,131,61.252,5,7,1,-1,-1,0,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000025,476,50,1.039,2,3,2,1,-1,-1,N,U,A7,W,0,3,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000026,422,482,2.372,2,8,2,1,2,0,N,B,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000027,462,93,0.406,2,8,2,-1,-1,0,N,U,A7,L,0,2,3,BANDWIDTH.COM,Bandwidth.com,Wireline,2,,0
1000028,523,92,0.052,7,5,-1,2,-1,0,N,B,A7,L,0,2,4,Comcast Phone,Comcast,Wireline,3,,0
1000029,668,241,25.194,5,7,2,-2,-1,0,N,B,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1000030,433,484,1.328,2,8,2,1,2,-2,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000031,347,500,0.318,2,8,2,1,2,0,N,U,A6,W,7,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000032,457,904,4.836,5,7,1,-1,-1,0,N,U,A7,W,7,1,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000033,541,500,3.718,2,8,2,-2,2,0,N,U,A7,W,0,3,4,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
